,points,sex
0,25.0,male
1,25.0,male
2,25.0,male
3,25.0,male
4,23.0,male
5,23.0,male
6,23.0,male
7,23.0,male
8,22.0,male
9,22.0,male
10,22.0,male
11,22.0,andy
12,22.0,male
13,22.0,male
14,22.0,male
15,22.0,male
16,22.0,female
17,22.0,male
18,22.0,male
19,22.0,male
20,22.0,male
21,22.0,male
22,22.0,male
23,22.0,male
24,22.0,male
25,22.0,male
26,21.5,male
27,21.5,male
28,21.0,male
29,21.0,male
30,21.0,male
31,21.0,female
32,21.0,male
33,21.0,male
34,21.0,female
35,21.0,female
36,20.5,male
37,20.5,male
38,20.5,female
39,20.5,male
40,20.0,male
41,20.0,male
42,20.0,male
43,20.0,male
44,20.0,female
45,20.0,male
46,20.0,male
47,20.0,female
48,20.0,male
49,20.0,male
50,20.0,male
51,20.0,male
52,19.0,male
53,19.0,male
54,19.0,male
55,19.0,male
56,19.0,male
57,19.0,male
58,19.0,male
59,19.0,male
60,19.0,male
61,19.0,male
62,19.0,female
63,19.0,male
64,19.0,male
65,19.0,female
66,19.0,male
67,19.0,male
68,19.0,male
69,19.0,male
70,19.0,male
71,19.0,male
72,19.0,male
73,19.0,male
74,19.0,male
75,19.0,male
76,19.0,male
77,19.0,male
78,19.0,male
79,18.0,male
80,18.0,male
81,18.0,male
82,18.0,male
83,18.0,male
84,18.0,female
85,18.0,female
86,18.0,male
87,18.0,male
88,18.0,male
89,18.0,male
90,18.0,male
91,18.0,female
92,18.0,male
93,18.0,male
94,18.0,male
95,18.0,male
96,18.0,male
97,17.0,female
98,17.0,male
99,17.0,male
100,17.0,male
101,17.0,male
102,17.0,male
103,17.0,male
104,17.0,male
105,17.0,female
106,17.0,female
107,17.0,male
108,17.0,male
109,17.0,male
110,17.0,andy
111,17.0,male
112,17.0,male
113,17.0,male
114,17.0,female
115,17.0,male
116,17.0,male
117,17.0,male
118,17.0,male
119,17.0,male
120,17.0,female
121,17.0,female
122,17.0,female
123,17.0,male
124,17.0,male
