,points,sex
0,24.0,male
1,23.0,male
2,23.0,male
3,22.5,male
4,22.0,unknown
5,22.0,male
6,21.0,male
7,21.0,male
8,21.0,andy
9,21.0,male
10,21.0,male
11,21.0,male
12,20.0,male
13,20.0,male
14,20.0,unknown
15,20.0,female
16,20.0,female
17,20.0,male
18,20.0,male
19,20.0,male
20,19.0,male
21,19.0,male
22,19.0,male
23,19.0,female
24,19.0,male
25,19.0,male
26,19.0,female
27,19.0,male
28,19.0,unknown
29,19.0,male
30,18.5,male
31,18.0,female
32,18.0,male
33,18.0,male
34,18.0,female
35,18.0,male
36,18.0,male
37,18.0,male
38,18.0,female
39,18.0,male
40,18.0,male
41,18.0,male
42,18.0,male
43,18.0,female
44,18.0,male
45,18.0,female
46,18.0,male
47,17.5,male
48,17.5,male
49,17.0,male
50,17.0,female
51,17.0,male
52,17.0,male
53,17.0,male
54,17.0,male
55,17.0,male
56,17.0,male
57,17.0,male
58,17.0,male
59,17.0,male
60,17.0,male
61,17.0,male
62,17.0,male
63,17.0,male
64,16.5,female
65,16.5,female
66,16.0,female
67,16.0,female
68,16.0,male
69,16.0,unknown
70,16.0,male
71,16.0,male
72,16.0,female
73,16.0,male
74,16.0,male
75,16.0,male
76,16.0,male
77,16.0,male
78,16.0,male
79,16.0,male
80,16.0,andy
81,16.0,male
82,16.0,male
83,16.0,male
84,16.0,male
85,16.0,male
86,16.0,female
87,16.0,male
88,16.0,male
89,16.0,male
90,16.0,male
91,16.0,female
92,16.0,male
93,15.5,male
94,15.5,male
95,15.5,male
96,15.5,male
97,15.5,female
98,15.5,female
99,15.0,male
100,15.0,male
101,15.0,male
102,15.0,female
103,15.0,female
104,15.0,male
105,15.0,male
106,15.0,male
107,15.0,male
108,15.0,male
109,15.0,male
110,15.0,male
111,15.0,male
112,15.0,male
113,15.0,male
114,15.0,female
115,15.0,male
116,15.0,female
117,15.0,male
118,15.0,male
119,15.0,male
120,15.0,male
121,15.0,male
122,15.0,male
123,15.0,male
124,15.0,male
125,15.0,male
126,15.0,male
127,15.0,male
128,15.0,male
129,15.0,male
