,points,sex
0,64,male
1,64,male
2,64,male
3,64,male
4,64,male
5,61,male
6,61,male
7,60,male
8,60,male
9,60,male
10,60,male
11,60,female
12,58,male
13,58,male
14,58,male
15,58,male
16,58,male
17,58,male
18,57,male
19,57,male
20,57,male
21,57,male
22,56,male
23,56,male
24,56,male
25,56,male
26,56,male
27,56,male
28,56,male
29,56,male
30,56,male
31,55,male
32,55,male
33,54,male
34,54,male
35,53,male
36,53,male
37,53,male
38,53,female
39,53,male
40,53,male
41,52,male
42,52,male
43,52,female
44,52,male
45,52,male
46,52,male
47,52,male
48,52,male
49,52,male
50,52,male
51,52,male
52,52,female
53,52,male
54,52,unknown
55,52,male
56,52,male
57,52,male
58,52,male
59,52,male
60,52,male
61,52,male
62,52,male
63,52,male
64,52,male
65,51,male
66,51,male
67,51,male
68,51,male
69,51,male
70,51,male
71,50,male
72,50,male
73,50,unknown
74,50,male
75,50,male
76,49,male
77,49,male
78,49,male
79,48,male
80,48,male
81,48,male
82,48,unknown
83,48,male
84,48,female
85,48,male
86,48,male
87,48,male
88,48,male
89,48,male
90,48,male
91,48,male
92,48,male
93,48,male
94,48,male
95,48,male
96,47,male
97,47,male
98,47,female
99,47,male
100,47,male
101,47,male
102,47,male
