,points,sex
0,64,male
1,64,male
2,61,female
3,61,male
4,61,male
5,61,male
6,60,male
7,60,male
8,60,male
9,60,male
10,58,male
11,58,male
12,58,male
13,58,male
14,58,male
15,57,male
16,57,male
17,57,male
18,57,male
19,57,male
20,57,male
21,56,male
22,56,male
23,54,male
24,54,male
25,54,male
26,54,female
27,54,male
28,54,male
29,53,male
30,53,male
31,52,male
32,52,male
33,52,male
34,52,male
35,52,male
36,51,male
37,51,male
38,51,male
39,51,male
40,51,male
41,50,male
42,50,male
43,50,male
44,50,male
45,50,female
46,50,female
47,50,male
48,50,male
49,50,male
50,49,male
51,49,male
52,49,male
53,49,male
54,48,male
55,48,male
56,48,male
57,48,male
58,48,male
59,48,male
60,47,male
61,47,male
62,47,male
63,47,male
64,47,male
65,47,male
66,47,unknown
67,47,male
68,47,male
69,46,male
70,46,female
71,46,male
72,46,male
73,45,male
74,45,male
75,45,male
76,44,male
77,44,male
78,44,male
79,44,male
80,44,male
81,44,male
82,43,male
83,43,male
84,43,male
85,43,male
86,43,male
87,42,male
88,42,male
89,42,male
90,42,male
91,42,male
92,42,male
93,42,male
94,42,male
95,41,male
96,41,male
97,41,male
98,41,male
99,41,male
100,41,female
101,41,male
