,points,sex
0,92.0,male
1,88.0,male
2,87.0,male
3,85.0,male
4,85.0,unknown
5,83.0,male
6,83.0,male
7,80.0,male
8,78.0,male
9,77.0,male
10,77.0,andy
11,76.0,male
12,75.0,female
13,75.0,male
14,74.0,male
15,73.0,andy
16,73.0,male
17,73.0,male
18,73.0,male
19,72.0,andy
20,72.0,male
21,71.0,female
22,71.0,male
23,71.0,male
24,70.0,male
25,70.0,male
26,70.0,andy
27,70.0,male
28,70.0,male
29,70.0,male
30,70.0,male
31,70.0,male
32,70.0,male
33,69.0,female
34,68.0,male
35,67.0,male
36,67.0,male
37,66.0,male
38,66.0,male
39,66.0,male
40,65.0,unknown
41,65.0,female
42,65.0,male
43,65.0,unknown
44,65.0,male
45,65.0,male
46,65.0,male
47,65.0,male
48,65.0,male
49,64.0,male
50,64.0,male
51,64.0,male
52,63.0,male
53,63.0,male
54,62.0,unknown
55,62.0,male
56,62.0,male
57,61.0,male
58,61.0,male
59,61.0,male
60,61.0,male
61,61.0,male
62,60.0,male
63,60.0,male
64,60.0,male
65,60.0,male
66,60.0,male
67,60.0,male
68,60.0,female
69,60.0,male
70,60.0,male
71,60.0,male
72,60.0,male
73,60.0,male
74,60.0,female
75,60.0,unknown
76,59.0,female
77,59.0,male
78,59.0,andy
79,58.0,male
80,58.0,male
81,58.0,male
82,58.0,male
83,57.0,male
84,57.0,male
85,57.0,male
86,57.0,male
87,57.0,unknown
88,57.0,male
89,57.0,andy
90,57.0,male
91,57.0,male
92,57.0,female
93,57.0,male
94,56.0,male
95,56.0,male
96,56.0,male
97,56.0,male
98,56.0,male
99,56.0,male
100,56.0,male
101,55.0,male
102,55.0,male
103,55.0,male
104,55.0,female
105,55.0,male
106,55.0,female
107,55.0,male
108,55.0,male
109,55.0,male
110,55.0,male
111,55.0,unknown
112,55.0,male
113,55.0,male
114,55.0,male
115,55.0,female
116,55.0,male
117,55.0,male
118,55.0,male
119,55.0,male
120,55.0,male
121,55.0,male
122,55.0,male
123,54.0,male
124,54.0,male
125,54.0,male
126,54.0,male
127,54.0,male
128,54.0,male
129,54.0,male
130,54.0,male
131,54.0,male
132,54.0,male
133,53.0,male
134,53.0,unknown
135,53.0,male
136,53.0,male
137,53.0,male
138,53.0,female
139,53.0,male
140,53.0,male
141,53.0,male
