,points,sex
0,19.0,male
1,19.0,male
2,18.0,male
3,18.0,male
4,17.0,male
5,16.0,female
6,16.0,male
7,15.0,male
8,15.0,male
9,15.0,male
10,14.0,male
11,14.0,male
12,14.0,male
13,14.0,male
14,14.0,male
15,13.0,female
16,13.0,male
17,13.0,male
18,13.0,male
19,13.0,male
20,13.0,male
21,13.0,male
22,13.0,female
23,12.0,male
24,12.0,male
25,12.0,male
26,12.0,male
27,12.0,female
28,12.0,male
29,12.0,male
30,12.0,male
31,12.0,male
32,12.0,female
33,12.0,male
34,12.0,male
35,12.0,female
36,12.0,male
37,12.0,male
38,11.0,male
39,11.0,male
40,11.0,male
41,11.0,female
42,11.0,male
43,11.0,male
44,11.0,male
45,11.0,male
46,11.0,male
47,11.0,male
48,11.0,male
49,11.0,male
50,11.0,male
51,11.0,male
52,11.0,male
53,11.0,male
54,11.0,male
55,11.0,female
56,10.5,female
57,10.0,male
58,10.0,male
59,10.0,male
60,10.0,male
61,10.0,male
62,10.0,male
63,10.0,male
64,10.0,male
65,10.0,male
66,10.0,male
67,10.0,male
68,10.0,female
69,10.0,male
70,10.0,male
71,10.0,female
72,10.0,male
73,10.0,male
74,10.0,male
75,10.0,male
76,10.0,male
77,10.0,male
78,10.0,male
79,9.5,male
80,9.5,male
81,9.0,male
82,9.0,male
83,9.0,female
84,9.0,female
85,9.0,male
86,9.0,male
87,9.0,male
88,9.0,male
89,9.0,female
90,9.0,male
91,9.0,male
92,9.0,male
93,9.0,male
94,9.0,female
95,9.0,male
96,9.0,male
97,9.0,male
98,9.0,female
99,9.0,male
100,9.0,male
101,9.0,male
102,9.0,male
103,9.0,male
104,9.0,male
105,9.0,male
106,9.0,male
107,9.0,male
108,9.0,male
109,9.0,male
110,9.0,male
111,8.5,female
112,8.5,female
113,8.5,male
114,8.5,male
115,8.5,male
116,8.0,male
117,8.0,male
118,8.0,female
119,8.0,male
120,8.0,female
121,8.0,female
122,8.0,male
123,8.0,male
124,8.0,male
125,8.0,male
126,8.0,male
127,8.0,male
128,8.0,male
129,8.0,male
130,8.0,male
131,8.0,male
132,8.0,male
133,8.0,male
134,8.0,female
135,8.0,male
136,8.0,male
137,8.0,female
138,8.0,male
139,8.0,male
140,8.0,male
141,8.0,female
142,8.0,male
143,8.0,male
144,8.0,male
145,8.0,male
146,8.0,male
147,8.0,male
148,8.0,male
149,8.0,male
150,8.0,male
151,8.0,male
152,8.0,male
153,7.5,male
154,7.5,female
155,7.0,male
156,7.0,male
157,7.0,female
158,7.0,male
159,7.0,male
160,7.0,male
161,7.0,male
162,7.0,female
163,7.0,male
164,7.0,male
165,7.0,female
166,7.0,male
167,7.0,male
168,7.0,male
169,7.0,male
170,7.0,male
171,7.0,male
172,7.0,female
173,7.0,male
174,7.0,male
175,7.0,male
176,7.0,male
177,7.0,female
178,7.0,female
179,7.0,male
180,7.0,male
181,7.0,male
182,7.0,female
183,7.0,female
184,7.0,female
185,6.5,female
186,6.5,male
187,6.0,male
188,6.0,male
189,6.0,male
190,6.0,female
191,6.0,male
192,6.0,male
193,6.0,male
194,6.0,male
195,6.0,female
196,6.0,male
197,6.0,male
198,6.0,male
199,6.0,male
200,6.0,male
201,6.0,male
202,6.0,female
203,6.0,male
204,6.0,male
205,6.0,male
206,6.0,male
207,6.0,male
208,6.0,male
209,6.0,male
210,6.0,male
211,6.0,male
212,6.0,male
213,6.0,male
214,6.0,male
215,6.0,male
216,6.0,male
217,6.0,female
218,6.0,male
219,6.0,female
220,6.0,male
221,6.0,male
222,6.0,male
223,6.0,female
224,6.0,male
225,6.0,male
226,6.0,male
227,6.0,female
228,6.0,female
229,6.0,male
230,6.0,male
231,6.0,male
232,6.0,male
233,6.0,female
234,6.0,male
235,6.0,male
236,6.0,male
237,6.0,male
238,6.0,male
239,6.0,male
240,6.0,male
241,6.0,male
242,6.0,male
243,6.0,male
244,6.0,male
245,6.0,male
246,6.0,male
247,6.0,female
248,6.0,male
249,6.0,female
250,6.0,male
251,5.0,male
252,5.0,male
253,5.0,male
254,5.0,male
255,5.0,female
256,5.0,male
257,5.0,male
258,5.0,female
259,5.0,female
260,5.0,male
261,5.0,male
262,5.0,male
263,5.0,female
264,5.0,female
265,5.0,male
266,5.0,male
267,5.0,female
268,5.0,male
269,5.0,male
270,5.0,male
271,5.0,male
272,5.0,female
273,5.0,male
274,5.0,male
275,5.0,male
276,5.0,female
277,5.0,male
278,5.0,male
279,5.0,male
280,5.0,female
281,5.0,male
282,5.0,male
283,5.0,male
284,5.0,male
285,5.0,male
286,5.0,male
287,5.0,male
