,points,sex
0,88,female
1,88,male
2,83,male
3,78,male
4,77,male
5,75,andy
6,74,male
7,73,female
8,73,male
9,72,male
10,72,female
11,71,male
12,71,male
13,70,male
14,69,male
15,69,male
16,68,male
17,68,male
18,66,male
19,66,male
20,66,male
21,66,male
22,66,male
23,65,male
24,65,female
25,65,male
26,64,male
27,64,female
28,64,female
29,64,male
30,63,male
31,63,male
32,63,female
33,63,male
34,62,male
35,61,female
36,61,male
37,61,female
38,60,male
39,60,female
40,60,female
41,60,male
42,60,male
43,59,male
44,58,unknown
45,58,male
46,58,male
47,58,male
48,58,male
49,58,male
50,58,male
51,58,unknown
