,points,sex
0,64,male
1,64,male
2,60,male
3,60,male
4,60,male
5,60,male
6,60,male
7,60,male
8,58,male
9,58,male
10,58,male
11,58,male
12,57,male
13,57,female
14,56,male
15,56,male
16,56,male
17,55,male
18,55,male
19,55,female
20,54,male
21,53,male
22,53,male
23,53,male
24,52,male
25,52,male
26,52,male
27,52,male
28,52,male
29,52,male
30,52,male
31,51,female
32,51,male
33,50,male
34,50,female
35,50,male
36,50,male
37,49,male
38,49,male
39,49,male
40,49,male
41,48,male
42,48,male
43,48,male
44,48,unknown
45,48,male
46,48,male
47,48,male
48,48,male
49,47,male
50,47,male
51,47,male
52,47,male
53,47,male
54,46,male
55,46,male
56,46,male
57,46,male
58,46,male
59,46,male
60,45,male
61,45,male
62,45,male
63,45,male
64,45,female
65,45,male
66,44,male
67,44,male
68,44,male
69,44,male
70,44,male
71,44,male
72,44,male
73,43,male
74,43,male
75,43,male
76,42,male
77,42,male
78,41,male
79,41,male
80,41,male
81,41,female
82,41,unknown
83,41,male
84,41,male
85,41,male
86,40,male
87,40,male
88,40,male
89,40,male
90,40,male
91,40,male
92,40,male
93,40,male
94,40,male
95,40,male
96,40,male
97,40,male
98,40,male
