,points,sex
0,61,male
1,61,male
2,60,male
3,60,male
4,60,male
5,56,male
6,54,female
7,53,male
8,53,male
9,52,male
10,52,male
11,52,male
12,52,unknown
13,50,male
14,49,male
15,49,male
16,48,male
17,48,male
18,48,male
19,48,male
20,48,male
21,48,unknown
22,48,male
23,47,male
24,47,male
25,47,male
26,47,female
27,47,male
28,46,male
29,46,male
30,46,male
31,46,male
32,45,male
33,45,male
34,45,male
35,44,male
36,44,male
37,44,male
38,44,male
39,44,male
40,44,male
41,44,male
42,44,male
43,44,male
44,44,male
45,44,female
46,44,male
47,44,male
48,44,male
49,44,male
50,44,male
51,43,male
52,43,male
53,43,male
54,43,male
55,43,male
56,43,male
57,43,male
58,42,male
59,42,male
60,42,male
61,42,male
62,42,male
63,42,male
64,41,male
65,41,male
66,41,male
67,41,female
68,41,male
69,40,male
70,40,male
71,40,male
72,40,male
73,40,male
74,40,male
75,40,male
76,40,male
77,40,male
78,40,male
79,40,male
80,40,male
81,40,female
82,40,male
83,40,male
84,39,male
85,39,male
86,39,male
87,39,male
88,39,male
89,39,male
90,38,female
91,38,male
92,38,male
93,37,male
94,37,male
95,37,male
96,37,male
97,37,male
98,37,male
99,37,male
100,37,male
