,points,sex
0,26.0,male
1,26.0,male
2,26.0,male
3,25.0,male
4,25.0,male
5,25.0,male
6,25.0,male
7,25.0,male
8,25.0,male
9,24.5,male
10,24.0,male
11,24.0,female
12,24.0,male
13,24.0,male
14,24.0,male
15,24.0,male
16,24.0,female
17,24.0,male
18,23.0,male
19,23.0,male
20,23.0,male
21,23.0,unknown
22,23.0,male
23,23.0,male
24,23.0,male
25,23.0,male
26,23.0,male
27,23.0,male
28,22.0,male
29,22.0,andy
30,22.0,male
31,22.0,male
32,22.0,male
33,22.0,male
34,22.0,male
35,22.0,male
36,22.0,male
37,21.0,female
38,21.0,male
39,21.0,male
40,21.0,male
41,21.0,male
42,21.0,male
43,21.0,male
44,21.0,male
45,21.0,male
46,21.0,male
47,21.0,male
48,21.0,male
49,21.0,male
50,21.0,male
51,21.0,female
52,21.0,male
53,21.0,male
54,20.5,male
55,20.5,male
56,20.5,male
57,20.0,female
58,20.0,female
59,20.0,male
60,20.0,male
61,20.0,female
62,20.0,male
63,20.0,male
64,20.0,male
65,20.0,male
66,20.0,male
67,20.0,male
68,20.0,female
69,20.0,male
70,20.0,male
71,20.0,male
72,20.0,male
73,20.0,male
74,20.0,male
75,20.0,male
76,20.0,male
77,20.0,male
78,20.0,male
79,20.0,male
80,20.0,male
81,20.0,male
82,20.0,male
83,20.0,female
84,20.0,male
85,19.0,male
86,19.0,male
87,19.0,male
88,19.0,male
89,19.0,female
90,19.0,male
91,19.0,male
92,19.0,male
93,19.0,male
94,19.0,male
95,19.0,male
96,19.0,male
97,19.0,male
98,19.0,male
99,19.0,male
100,19.0,male
101,19.0,male
102,19.0,male
103,19.0,male
104,19.0,male
105,19.0,male
106,19.0,male
107,19.0,male
108,19.0,male
109,19.0,male
110,19.0,male
111,18.5,male
112,18.0,male
113,18.0,male
114,18.0,male
115,18.0,male
116,18.0,male
117,18.0,female
118,18.0,male
119,18.0,female
120,18.0,male
121,18.0,male
122,18.0,male
123,18.0,male
124,18.0,male
125,18.0,male
126,18.0,male
127,18.0,male
128,18.0,male
129,18.0,male
130,18.0,male
131,18.0,male
132,18.0,male
