,points,sex
0,97,male
1,95,male
2,94,male
3,92,male
4,92,male
5,91,male
6,91,male
7,89,female
8,89,male
9,89,male
10,89,male
11,89,male
12,89,male
13,88,male
14,88,female
15,88,male
16,86,male
17,86,unknown
18,86,male
19,86,female
20,85,male
21,85,male
22,84,female
23,84,female
24,84,male
25,83,male
26,83,male
27,83,male
28,83,male
29,83,female
30,83,male
31,83,male
32,83,male
33,83,female
34,83,male
35,82,female
36,82,female
37,81,female
38,81,male
39,81,male
40,81,male
41,81,male
42,80,female
43,80,male
44,80,male
45,80,male
46,80,male
47,80,male
48,80,male
49,80,male
50,80,male
51,80,male
52,80,male
53,80,male
54,80,female
55,80,male
