,points,sex
0,100.0,male
1,96.0,male
2,95.0,male
3,95.0,male
4,91.0,unknown
5,90.0,male
6,90.0,male
7,86.0,male
8,85.0,male
9,83.0,male
10,83.0,male
11,82.0,male
12,82.0,male
13,81.0,male
14,81.0,male
15,81.0,male
16,80.0,male
17,80.0,male
18,80.0,male
19,80.0,male
20,80.0,male
21,79.0,male
22,79.0,female
23,78.0,male
24,78.0,female
25,77.0,male
26,77.0,male
27,77.0,male
28,77.0,male
29,77.0,male
30,77.0,female
31,76.0,male
32,76.0,male
33,76.0,male
34,76.0,male
35,76.0,male
36,76.0,female
37,75.0,male
38,75.0,male
39,75.0,male
40,75.0,male
41,75.0,male
42,75.0,male
43,75.0,female
44,75.0,male
45,75.0,male
46,75.0,male
47,75.0,male
48,75.0,female
49,75.0,male
50,74.0,male
51,74.0,male
52,74.0,unknown
53,74.0,male
54,73.0,male
55,73.0,unknown
56,73.0,male
57,73.0,male
58,72.0,male
59,72.0,male
60,72.0,male
61,72.0,male
62,72.0,female
63,72.0,male
64,72.0,andy
65,72.0,male
66,72.0,male
67,72.0,male
68,72.0,male
69,72.0,male
70,72.0,male
71,72.0,male
72,71.0,female
73,71.0,male
74,71.0,female
75,71.0,male
76,71.0,male
77,71.0,male
78,70.0,female
79,70.0,male
80,70.0,male
81,70.0,male
82,70.0,unknown
83,70.0,female
84,70.0,male
85,70.0,unknown
86,70.0,male
87,70.0,female
88,70.0,male
89,70.0,male
90,70.0,male
91,70.0,male
92,70.0,male
93,70.0,male
94,70.0,male
95,69.0,male
96,69.0,male
97,69.0,male
98,69.0,male
99,69.0,male
100,69.0,male
101,69.0,male
102,69.0,female
103,69.0,male
104,69.0,male
105,69.0,female
106,69.0,male
107,68.0,unknown
108,68.0,female
109,68.0,male
110,68.0,male
111,68.0,unknown
112,68.0,male
113,68.0,male
114,68.0,male
115,68.0,female
116,68.0,male
117,68.0,female
118,68.0,male
119,68.0,male
120,68.0,female
121,67.0,male
122,67.0,male
123,67.0,male
124,67.0,male
125,67.0,female
126,67.0,female
127,67.0,male
128,67.0,male
129,67.0,male
130,67.0,male
131,66.0,male
132,66.0,female
133,66.0,unknown
134,66.0,unknown
135,66.0,male
136,66.0,female
137,66.0,unknown
138,66.0,male
139,66.0,male
140,66.0,male
141,66.0,male
142,66.0,male
143,66.0,male
144,66.0,female
145,66.0,male
146,66.0,male
147,65.0,male
148,65.0,female
149,65.0,male
150,65.0,male
151,65.0,male
152,65.0,male
153,65.0,male
154,65.0,female
155,65.0,female
156,65.0,male
157,65.0,male
158,65.0,female
159,65.0,unknown
160,65.0,male
161,65.0,male
162,65.0,male
163,65.0,male
164,65.0,female
165,65.0,male
166,65.0,unknown
167,65.0,male
168,65.0,unknown
169,65.0,male
170,65.0,male
171,65.0,male
172,65.0,male
173,65.0,male
174,65.0,male
175,65.0,male
176,65.0,male
177,65.0,unknown
178,65.0,male
179,65.0,male
180,65.0,male
181,64.0,male
182,64.0,male
183,64.0,female
184,64.0,female
185,64.0,male
186,64.0,male
187,64.0,male
188,64.0,male
189,64.0,unknown
190,64.0,male
191,64.0,male
192,64.0,male
193,64.0,male
194,64.0,male
195,64.0,male
196,64.0,male
197,64.0,male
198,64.0,male
199,64.0,female
200,64.0,male
201,63.0,female
202,63.0,male
203,63.0,male
204,63.0,male
205,63.0,male
206,63.0,male
207,63.0,male
208,63.0,unknown
209,63.0,male
210,63.0,male
211,63.0,female
212,63.0,male
213,63.0,female
214,63.0,male
215,63.0,male
216,63.0,male
217,63.0,unknown
218,63.0,unknown
219,63.0,female
220,63.0,male
221,63.0,male
222,63.0,male
223,62.0,unknown
224,62.0,male
225,62.0,male
226,62.0,male
227,62.0,male
228,62.0,female
229,62.0,male
230,62.0,male
231,62.0,male
232,62.0,female
233,62.0,male
234,62.0,male
235,62.0,male
236,62.0,male
237,62.0,male
238,62.0,male
239,62.0,female
240,62.0,male
241,62.0,male
242,62.0,male
243,62.0,male
244,62.0,male
245,62.0,female
246,62.0,male
247,62.0,unknown
248,62.0,male
249,62.0,male
250,62.0,male
251,62.0,male
252,62.0,male
253,62.0,male
254,62.0,male
255,62.0,male
256,62.0,male
257,62.0,male
258,61.0,male
259,61.0,male
260,61.0,male
261,61.0,male
262,61.0,male
263,61.0,male
