,points,sex
0,97,male
1,97,andy
2,97,male
3,94,male
4,91,male
5,89,male
6,89,male
7,88,male
8,88,male
9,85,female
10,85,male
11,83,male
12,83,male
13,82,male
14,82,male
15,82,male
16,82,male
17,82,male
18,80,male
19,80,male
20,80,male
21,80,male
22,80,male
23,80,male
24,80,male
25,80,female
26,79,male
27,79,male
28,79,female
29,78,female
30,78,male
31,77,male
32,77,male
33,77,male
34,77,male
35,76,female
36,76,male
37,76,female
38,76,unknown
39,76,male
40,76,male
41,76,male
42,76,male
43,74,male
44,74,unknown
45,74,female
46,74,male
47,74,male
48,74,andy
49,74,male
