,points,sex
0,23.0,male
1,20.0,male
2,20.0,male
3,19.0,male
4,18.0,male
5,17.0,male
6,17.0,male
7,17.0,male
8,17.0,male
9,17.0,male
10,17.0,male
11,16.0,male
12,16.0,male
13,16.0,male
14,16.0,male
15,16.0,male
16,15.0,male
17,15.0,male
18,15.0,male
19,15.0,male
20,15.0,male
21,15.0,male
22,15.0,male
23,14.5,male
24,14.0,male
25,14.0,male
26,14.0,male
27,14.0,male
28,14.0,male
29,14.0,male
30,14.0,male
31,14.0,female
32,14.0,male
33,14.0,male
34,14.0,male
35,13.0,male
36,13.0,male
37,13.0,male
38,13.0,female
39,13.0,male
40,13.0,male
41,13.0,male
42,13.0,female
43,13.0,male
44,13.0,male
45,13.0,female
46,13.0,male
47,13.0,male
48,13.0,male
49,13.0,male
50,13.0,male
51,12.5,male
52,12.5,male
53,12.0,male
54,12.0,male
55,12.0,female
56,12.0,male
57,12.0,male
58,12.0,male
59,12.0,male
60,12.0,female
61,12.0,female
62,12.0,male
63,12.0,male
64,12.0,male
65,12.0,male
66,12.0,female
67,12.0,male
68,12.0,male
69,12.0,male
70,12.0,male
71,12.0,male
72,12.0,female
73,12.0,female
74,12.0,male
75,11.5,female
76,11.5,female
77,11.5,male
78,11.0,male
79,11.0,female
80,11.0,male
81,11.0,female
82,11.0,male
83,11.0,male
84,11.0,male
85,11.0,male
86,11.0,male
87,11.0,male
88,11.0,male
89,11.0,male
90,11.0,male
91,11.0,female
92,11.0,female
93,11.0,male
94,11.0,andy
95,11.0,male
96,11.0,male
97,11.0,male
98,11.0,female
99,11.0,male
100,11.0,male
101,11.0,male
102,11.0,male
103,11.0,male
104,10.5,male
105,10.5,female
106,10.5,male
107,10.5,male
108,10.0,unknown
109,10.0,male
110,10.0,male
111,10.0,male
112,10.0,female
113,10.0,female
114,10.0,male
115,10.0,male
116,10.0,female
117,10.0,male
118,10.0,female
119,10.0,male
120,10.0,male
121,10.0,male
122,10.0,female
123,10.0,female
124,10.0,male
125,10.0,male
126,10.0,female
127,10.0,male
128,10.0,male
129,10.0,female
130,10.0,male
131,10.0,male
132,10.0,male
133,9.5,male
134,9.5,male
135,9.5,female
136,9.5,male
137,9.5,female
138,9.5,male
139,9.5,male
140,9.5,male
141,9.0,male
142,9.0,female
143,9.0,female
144,9.0,male
145,9.0,male
146,9.0,male
147,9.0,male
148,9.0,male
149,9.0,male
150,9.0,male
151,9.0,male
152,9.0,female
153,9.0,male
154,9.0,male
155,9.0,male
156,9.0,male
157,9.0,male
158,9.0,male
159,9.0,male
160,9.0,unknown
161,9.0,male
162,9.0,male
163,9.0,male
164,9.0,male
165,9.0,male
166,9.0,female
167,9.0,male
168,9.0,male
169,9.0,male
170,9.0,male
171,8.5,male
172,8.5,female
173,8.5,male
174,8.5,female
175,8.5,male
176,8.0,male
177,8.0,male
178,8.0,male
179,8.0,male
180,8.0,male
181,8.0,male
182,8.0,male
183,8.0,male
184,8.0,female
185,8.0,male
186,8.0,male
187,8.0,male
188,8.0,male
189,8.0,male
190,8.0,female
191,8.0,male
192,8.0,male
193,8.0,female
194,8.0,male
195,8.0,male
196,8.0,male
197,8.0,male
198,8.0,male
199,8.0,female
200,8.0,male
201,8.0,male
202,8.0,male
203,8.0,male
204,8.0,female
205,8.0,male
206,8.0,male
207,8.0,male
208,8.0,female
209,8.0,male
210,8.0,male
211,8.0,male
212,8.0,male
213,8.0,female
214,8.0,male
215,8.0,male
216,8.0,male
217,8.0,male
218,8.0,female
219,8.0,male
220,8.0,male
221,8.0,male
222,8.0,male
223,8.0,female
224,8.0,male
225,8.0,male
226,8.0,male
227,8.0,male
228,8.0,male
229,8.0,male
230,8.0,male
231,8.0,male
232,8.0,male
233,8.0,male
234,8.0,male
235,8.0,female
236,8.0,male
237,8.0,female
238,8.0,male
239,8.0,unknown
240,7.5,female
241,7.5,male
242,7.5,male
243,7.0,male
244,7.0,male
245,7.0,male
246,7.0,male
247,7.0,male
248,7.0,male
249,7.0,male
250,7.0,male
251,7.0,male
252,7.0,male
253,7.0,male
254,7.0,male
255,7.0,male
256,7.0,male
257,7.0,male
258,7.0,female
259,7.0,male
260,7.0,male
261,7.0,male
262,7.0,female
263,7.0,male
264,7.0,male
265,7.0,male
266,7.0,female
267,7.0,female
268,7.0,male
269,7.0,male
270,7.0,male
271,7.0,male
272,7.0,male
273,7.0,male
274,7.0,unknown
275,7.0,female
276,7.0,male
277,7.0,male
278,7.0,female
279,7.0,male
280,7.0,female
281,7.0,male
282,7.0,male
283,7.0,female
284,7.0,female
285,7.0,male
286,7.0,female
287,7.0,female
