,points,sex
0,84,male
1,84,male
2,84,male
3,84,male
4,80,male
5,80,male
6,80,male
7,76,male
8,76,male
9,76,male
10,76,male
11,76,male
12,76,male
13,76,male
14,76,male
15,76,male
16,76,male
17,72,male
18,72,male
19,72,male
20,72,female
21,72,female
22,72,male
23,72,female
24,72,male
25,72,female
26,72,male
27,72,male
28,72,male
29,72,male
30,72,female
31,68,female
32,68,male
33,68,female
34,68,male
35,68,male
36,68,male
37,68,male
38,68,female
39,68,female
40,68,male
41,68,male
42,68,male
43,68,female
44,64,male
45,64,male
46,64,female
47,64,female
48,64,male
49,64,male
50,64,andy
51,64,unknown
52,64,male
53,64,male
54,64,male
55,64,male
56,64,female
57,64,male
58,64,male
59,64,female
60,64,female
61,64,male
62,64,unknown
