,points,sex
0,27.5,male
1,27.0,male
2,26.0,male
3,26.0,male
4,26.0,male
5,26.0,male
6,26.0,male
7,25.0,male
8,25.0,male
9,24.5,male
10,24.0,male
11,24.0,male
12,24.0,male
13,23.0,male
14,23.0,male
15,23.0,male
16,23.0,female
17,23.0,male
18,23.0,male
19,22.5,male
20,22.0,male
21,22.0,male
22,22.0,male
23,22.0,male
24,22.0,male
25,22.0,male
26,21.5,male
27,21.0,male
28,21.0,male
29,21.0,male
30,21.0,male
31,21.0,male
32,21.0,male
33,20.5,male
34,20.5,male
35,20.5,male
36,20.5,male
37,20.0,female
38,20.0,male
39,20.0,male
40,20.0,male
41,20.0,male
42,20.0,male
43,20.0,male
44,20.0,male
45,20.0,male
46,20.0,female
47,20.0,male
48,20.0,female
49,20.0,male
50,20.0,male
51,20.0,female
52,20.0,male
53,20.0,male
54,19.5,male
55,19.5,male
56,19.5,male
57,19.5,male
58,19.5,male
59,19.0,male
60,19.0,male
61,19.0,male
62,19.0,male
63,19.0,male
64,19.0,male
65,19.0,male
66,19.0,female
67,19.0,female
68,19.0,male
69,19.0,male
70,19.0,male
71,18.5,male
72,18.0,male
73,18.0,male
74,18.0,male
75,18.0,female
76,18.0,male
77,18.0,male
78,18.0,male
79,18.0,male
80,18.0,male
81,18.0,male
82,18.0,male
83,18.0,female
84,18.0,male
85,18.0,male
86,17.5,male
87,17.5,male
88,17.5,male
89,17.5,male
90,17.5,male
91,17.0,female
92,17.0,male
93,17.0,female
94,17.0,male
95,17.0,male
96,17.0,male
97,17.0,male
98,17.0,male
99,17.0,male
100,17.0,female
101,17.0,male
102,17.0,male
103,17.0,male
104,17.0,male
105,17.0,male
106,17.0,male
107,17.0,male
108,16.5,female
109,16.5,male
110,16.5,male
111,16.5,male
112,16.5,male
113,16.5,female
114,16.0,male
115,16.0,male
116,16.0,male
117,16.0,male
118,16.0,male
119,16.0,male
120,16.0,male
121,16.0,male
122,16.0,female
123,16.0,male
124,16.0,male
125,16.0,male
126,16.0,male
127,16.0,male
128,16.0,female
129,16.0,male
130,16.0,andy
131,16.0,male
132,16.0,male
133,16.0,male
134,16.0,male
135,16.0,male
136,16.0,male
137,16.0,male
138,16.0,male
139,16.0,male
140,16.0,male
141,16.0,male
142,16.0,male
143,16.0,male
144,16.0,male
145,16.0,male
146,16.0,male
147,16.0,male
148,15.5,female
149,15.5,male
150,15.5,male
151,15.5,male
152,15.5,female
153,15.5,male
154,15.5,male
155,15.5,male
156,15.0,female
157,15.0,female
158,15.0,male
159,15.0,male
160,15.0,male
161,15.0,male
162,15.0,male
163,15.0,male
164,15.0,male
165,15.0,male
166,15.0,male
167,15.0,male
168,15.0,male
169,15.0,male
170,15.0,female
171,15.0,male
172,15.0,male
173,15.0,female
174,15.0,female
175,15.0,female
176,15.0,female
177,15.0,male
178,15.0,male
179,15.0,male
180,15.0,female
181,15.0,male
182,15.0,male
183,15.0,female
184,15.0,male
185,15.0,male
186,15.0,male
187,15.0,male
188,15.0,male
189,15.0,female
190,15.0,male
191,15.0,male
192,15.0,female
193,15.0,male
194,15.0,male
195,15.0,male
196,15.0,male
197,15.0,female
198,15.0,female
199,15.0,male
200,15.0,male
201,15.0,male
202,15.0,male
203,15.0,female
204,15.0,male
205,15.0,male
206,15.0,male
