,points,sex
0,26.0,male
1,22.5,male
2,22.0,male
3,22.0,male
4,22.0,male
5,22.0,male
6,21.0,female
7,21.0,male
8,21.0,male
9,21.0,male
10,21.0,male
11,21.0,male
12,20.0,female
13,20.0,male
14,20.0,male
15,19.5,male
16,19.0,male
17,19.0,female
18,19.0,male
19,19.0,male
20,19.0,male
21,19.0,male
22,19.0,male
23,19.0,male
24,19.0,male
25,19.0,male
26,18.5,male
27,18.5,male
28,18.0,female
29,18.0,female
30,18.0,male
31,18.0,male
32,18.0,male
33,18.0,male
34,18.0,male
35,18.0,male
36,18.0,female
37,18.0,male
38,18.0,male
39,18.0,male
40,18.0,male
41,18.0,male
42,17.5,male
43,17.5,male
44,17.5,female
45,17.0,female
46,17.0,male
47,17.0,female
48,17.0,female
49,17.0,female
50,17.0,male
51,17.0,male
52,17.0,male
53,17.0,male
54,17.0,male
55,17.0,male
56,17.0,male
57,17.0,male
58,16.5,male
59,16.0,unknown
60,16.0,male
61,16.0,male
62,16.0,male
63,16.0,male
64,16.0,male
65,16.0,female
66,16.0,male
67,16.0,female
68,16.0,male
69,16.0,male
70,16.0,male
71,16.0,male
72,16.0,male
73,16.0,male
74,15.5,male
75,15.0,male
76,15.0,male
77,15.0,female
78,15.0,male
79,15.0,female
80,15.0,male
81,15.0,male
82,15.0,male
83,15.0,female
84,15.0,male
85,15.0,male
86,15.0,male
87,15.0,male
88,15.0,male
89,15.0,male
90,15.0,male
91,15.0,male
92,15.0,male
93,15.0,female
94,15.0,female
95,15.0,male
96,15.0,male
97,15.0,male
98,15.0,male
99,15.0,male
100,14.5,male
101,14.5,male
102,14.5,male
103,14.5,male
104,14.0,female
105,14.0,female
106,14.0,male
107,14.0,male
108,14.0,female
109,14.0,male
110,14.0,female
111,14.0,male
112,14.0,male
113,14.0,male
114,14.0,female
115,14.0,female
116,14.0,male
117,14.0,female
118,14.0,male
119,14.0,male
120,14.0,male
121,14.0,male
122,14.0,male
123,14.0,unknown
124,14.0,male
